# JOB COMPLETION METRICS
Job ID,CPU ID,Waiting Time,Completion Time,MMU RAM % Used,Job RAM % Used,Job Cache % Used
1,0,1,12,0.065,0.065,0.523
2,0,13,1,0.07,0.07,0.563
3,0,14,2,0.066,0.066,0.531
4,0,16,2,0.062,0.062,0.492
5,0,18,1,0.07,0.07,0.563
6,0,19,1,0.066,0.066,0.531
7,0,20,0,0.062,0.062,0.492
8,0,20,1,0.062,0.062,0.492
9,0,21,0,0.066,0.066,0.531
10,0,21,1,0.07,0.07,0.563
11,0,23,1,0.065,0.065,0.523
12,0,24,1,0.07,0.07,0.563
13,0,25,0,0.066,0.066,0.531
14,0,25,1,0.062,0.062,0.492
15,0,26,0,0.066,0.066,0.531
16,0,26,1,0.062,0.062,0.492
17,0,27,0,0.07,0.07,0.563
18,0,27,1,0.066,0.066,0.531
19,0,28,1,0.07,0.07,0.563
20,0,29,0,0.066,0.066,0.531
21,0,29,1,0.062,0.062,0.492
22,0,30,0,0.07,0.07,0.563
23,0,30,1,0.065,0.065,0.523
24,0,31,0,0.066,0.066,0.531
25,0,31,1,0.065,0.065,0.523
26,0,32,0,0.062,0.062,0.492
27,0,32,0,0.065,0.065,0.523
28,0,32,1,0.07,0.07,0.563
29,0,33,0,0.066,0.066,0.531
30,0,33,1,0.062,0.062,0.492

# CPU COMPLETION METRICS
CPU ID,Completion Time,I/O Processes,Number of Jobs,% of Jobs
0,38,338,30,1.0
