# JOB COMPLETION METRICS
Job ID,CPU ID,Waiting Time,Completion Time,MMU RAM % Used,Job RAM % Used,Job Cache % Used
1,0,1,1,0.065,0.065,0.523
2,0,5,0,0.07,0.07,0.563
3,0,6,1,0.066,0.066,0.531
4,0,5,0,0.062,0.062,0.492
5,0,3,1,0.07,0.07,0.563
6,0,7,0,0.066,0.066,0.531
7,0,5,1,0.062,0.062,0.492
8,0,10,0,0.062,0.062,0.492
9,0,2,0,0.066,0.066,0.531
10,0,9,0,0.07,0.07,0.563
11,0,3,0,0.065,0.065,0.523
12,0,9,0,0.07,0.07,0.563
13,0,10,0,0.066,0.066,0.531
14,0,1,0,0.062,0.062,0.492
15,0,6,0,0.066,0.066,0.531
16,0,7,0,0.062,0.062,0.492
17,0,5,0,0.07,0.07,0.563
18,0,10,0,0.066,0.066,0.531
19,0,1,0,0.07,0.07,0.563
20,0,2,1,0.066,0.066,0.531
21,0,4,0,0.062,0.062,0.492
22,0,9,1,0.07,0.07,0.563
23,0,6,0,0.065,0.065,0.523
24,0,7,0,0.066,0.066,0.531
25,0,8,0,0.065,0.065,0.523
26,0,4,1,0.062,0.062,0.492
27,0,8,1,0.065,0.065,0.523
28,0,4,0,0.07,0.07,0.563
29,0,1,0,0.066,0.066,0.531
30,0,7,1,0.062,0.062,0.492

# CPU COMPLETION METRICS
CPU ID,Completion Time,I/O Processes,Number of Jobs,% of Jobs
0,10,338,30,1.0
